Username,Review,airline
suenmooi,I was under the weather. The in flight stewardess was polite and kind. She continuously check on me to see if I needed anything.,mas
Ricky491,"We flew from Belfast to London, London to Kuala Lumpur on the way out and Bali to Kuala Lumpur, and on to London, and finally to Belfast. These flight experiences would have been very good except for one thing - because this airline (Malaysian Airways) has a policy of children…",mas
Nathan Martin,Worst airline I have ever travelled on I would not recommend. I’m taking the time to write this review so other people don’t fall in this trap. Firstly some of the worst customer service I have ever dealt with. Rude staff and unfriendly air hostess’s. After booking a round trip…,mas
teenmusafir,Let me be frank ! The going flight from New Delhi to Denpasar via KL was good to the level of considering its past ! The mishaps etc that have happened. This Airline should be on a recovery mode but NO .... on the return flight they told us at the Counter that it is 3 hrs late .…,mas
Tom H,"In December, I once again flew from Perth to Ho Chi Minh City vuaKuala Lumpur. This is the 7th or 8th time I've flown with Malaysian air and not once have I been disappointed with anything. From being welcomed onboard, friendliness off crew who found it no trouble to any and…",mas
Piyumi J,"Recently I visited Bali and from Colombo to Malaysia,where my transit was, I travelled by Malaysia Airlines and there service was excellent. Cabin crew was very pleasant and gave a good service. At KUL for business class passengers they have an awesome lounge with a large…",mas
Merv&Jenn,"After two weeks holidays in Vietnam and Thailand, we decided to fly home in style via MAS ex Bangkok. Even though flight was re-timed, check in was efficiently smooth, we were fast-tracked thru custom to enjoy the Miracle Lounge's hospitality. Simple but abundant food available.…",mas
Shankarii,"It was our 10th Anniversary and my sister's 15th. So she and her husband, and us decided to splurge and fly business. As we were flying out of Kuala Lumpur for the first leg we had no option but to fly MAS. The first leg was uneventful, standard business service but as we had…",mas
D’Ros,"My parents are flying via Malaysian airlines on their wedding anniversary. I tried to surprise them on the flight by organising maybe a cake, glass of champagne, etc (and obviously happy to pay for it). But was told by your customer service team that it is not possible according…",mas
bart9134,"During my business class return segment from Yangon to Kuala Lumpur, I had misfortune to sit next to a passenger of shady character. Due to the vigilance of air stewardess Stephanie, I avoided being robbed of my cash property during my washroom visit. I truly appreciate the…",mas
Nisha,I traced to Cambodia from Sri Lanka in last Saturday as a group at that time we lost one of our baggage and next day they brought to hotel. Then we came back yesterday ( Saturday) night from Cambodia and we had 10 baggages. Our transit was in KL. We landed around midnight and…,mas
zebramones,"We had a minor issue during the earlier part of the flight. The crew assisted us and ensured it didn't escalate to a bigger problem for us. It could've been a very unpleasant flight for us otherwise. And towards the end of the flight, our baby cried non stop. The crew were…",mas
Simon6511,"After almost 3 years I stop taking MAS, I decided to try again. on the 19th Dec 2019, I booked and looking forward to enjoying the Hospitality of MAS (MH) was doomed. My Flight MH 720, 1545 Jakarta to Kuala Lumpur. Seated 51 D. Immediately I got my seat, try to enjoy the…",mas
k_furufuru,"I booked Malaysia Airline's flight supposed to depart at 10:10 a.m. However, at around 5 a.m., it suddenly and unilaterally notified us that the departure date and time was put off to next day's 8:40a.m. Furthermore, in the afternoon, it again unilaterally postponed the…",mas
Jeffrey Chai Jien Fu,I travel Auckland to Singapore Via Kuala Lumpur on 30th November 2019 flight MH144 my seat 20D when I am eating the food the new table is kept moving after after the flight is upgraded and when the meal was served that’s very uncomfortable for me to eat and the table kept moving…,mas
Reinier,"not bad, cheap flight, aircraft was in good order, food was good, space was not, but it atypical configuration for any short trip aircraft",mas
Shamsul B,"The flight was delayed. The ground staff informed me of the delay immediately upon checking in at the counter. The handling of the delay was very good. Information was relayed immediately through the screens as well as emails and sms. Once the aircraft arrived & cleared,…",mas
Bj L,"Worlds worst service if you could even call it that. No alcohol served on short haul flights, Ran out of food before even getting half way through the cabin The food they had was inedible rubbish. No effort to apologize or do anything to rectify the issue with so many unhappy…",mas
Bj L,"Malaysia Airlines is a terrible airline probably the worst airline in the world. The aircraft the A330 200 are old broken terrible aircraft that they bought second hand. The aircraft are old, uncomfortable and are falling apart. The toilets were not working and were closed…",mas
Piggiesnorter,Do not be fooled by the competitive pricing of their airline tickets-there is a reason for this. Food is anything but traditional which was disappointing-omelette and ham or beef and mashed potato!? Chicken biriyani for breakfast!? First airline where we have had to ask for…,mas
James,"I am extremely disappointed with Malaysia Airlines This is due to many flaws of this hideous organisation For example, they changed the airplane type and did not notify us about the change. When I went on to the Malaysian airlines website to view my seat, they had kept us in…",mas
Chiew C,"Leg room is tighter than those of the budget airlines, unexpected on a full fledge commercial airline.",mas
dave31,smooth flight no problems. but no coffee up or back. plane is bit older so everything is a bit worn out.,mas
cteoh,"Flight delayed, luggage lost and have to queue for more than two hours at the airline counter to report for luggage mishandled. Very inefficient and messy system.",mas
dmatholus,Had a 11 hour flight on Malaysia Airlines in October and considering the length of the flight the airline crew was professional and friendly. They made the whole experience comfort and enjoyable. The food was very nice and there was plenty of drinks flowing to keep you hydrated…,mas
Ruth M,"Worst airline in the world. I don't usually come in on airlines but Malaysia Airlines are so bad I need to warn others don't waste your money or time traveling with them. Old planes with damaged seats, toilets not working, absolutely disgusting rubbish for food that most…",mas
Roshan George,"We had booked a flight a few months earlier for travel in January 2020 to suit our travel party including 2 kids under 8 years old.It was an overnight flight with immediate connection to our destination.However, the connection flight timings were changed and we had a long…",mas
Norazli R,"Fly from Singapore to Langkawi with 2 hour transit at KLIA. Upon reaching langkawi, told by ground staff our baggage was left at transit KLIA. And will only be retrieve 4 hours later. It also meant that our baggage will only be return more than 24 hours later because we had to…",mas
CVA901,Takeoff and Landing was smooth; Pilots were good in handling the cabin pressure; flying with such warm flight crews is an experience. small kids are taken good care when crew heard any crying noise. Food was nice and ontime. entertainment was good with latest and also retro…,mas
turista295,"Good flight , good connetion with Kuala lumpur, 1 peace of lugage free, confortable and on time, good meals",mas
VaidyaVikrant,"Since last two Years Malaysian Airlines has become my favourite.good Hospitality,Good Flight,Good Inflight Entertainment,almost in time,Good staff Polite and helpful, Services good but this time flying form Manilla I had a Bad experience about inflight shopping.I had booked 3…",mas
Martha J,"Travel at night, but it's not boring because there is entertainment on the plane. Like all the food served and good services. P",mas
ichiron,"Original flight time was 2:15. However, the aircraft arrived late, and was delayed to departure by 1 hour. When it passed 40-50 minutes after takeoff, dinner or breakfast, I don't know, meal and drink were served. I couldn't have them near 4 o'clock in the morning because it was…",mas
James Jeremiah Soh,"The flight was a comfortable flight albeit a short one, but the seats were comfortable and the air crew friendly. There were light snacks as well even though the flight duration was just merely for 50 minutes. No dramas, smooth and i would say, reliable - far from the recent…",mas
Shamsul Bahari Z,"Great service, great food and an ok entertainment. Boarding was easy and very comfortable. MH should consider adding more new movies and TV show on their in-flight entertainment.",mas
Jackie9929,We really loved our flight with Malaysian airlines We checked in 48 hours before both legs of the trip and we had the best seats ever Just behind business class We had as much space as if we were in Business class. The Service and food was amazing Would definitely fly Malaysian…,mas
Peumi_r,"Great service and comfortable flight. F&B was great and better than expected. All in all, the experience was good. Inflight entertainment can improve.",mas
ashrafp2005,"Travelled from cochin to tokyo via KUL. The trip was good, the seats were comfortable with sufficient leg space, especially KUL to NRT section. Food was very good and service was excellent.",mas
Razman_Rossly,"nice airline, easy no hassle at all very convenient to travel and there is many flight charters. the plane are very clean and the staff is very friendly and helpful",mas
Julius Alex Sebayang,Our first experience with Malaysia Airlines on our way to Medan via Kuala Lumpur. Everything went well and the services (f&b and entertainment) were exellence. Not mentioned the extra baggage allowance too.,mas
micknmo,"Great flight, friendly staff, good food, we had plenty of legroom, first time after lots of travelling that I was able to have 4 seats to myself, the flight wasn’t full",mas
MizSally24,"It was a 7 hours flight into Sydney but i didn't feel bored for the long journey. The seats at the economy class have adequate leg room, the seats can be adjusted to glide lower, good food and drinks, entertainment at your fingertips. Well recommended for travellers.",mas
JaydenYAP,"The new booking system is terrible, with the introduction of this no luggage class. I’ve recently booked a multi city trip, and the system doesn’t allow me to select my class with luggage weight, and after purchasing my tickets I need to add on by managing my booking. So I…",mas
arish f,"Im not trying to be biased but I’ve flied numerous award winning airlines but MH cabin crew still winning in term of their services,they treat you deservingly & have a class of its own",mas
928taya,"MAS=Mana Ada System The flight scheduled departure time 17:20 But delayed more than 2 hours. Later due to traffic control, delay another hour. Is there any compensation for that kind of delay????",mas
Voyager182471,"This is the tenth time that I have traveled with Malaysia Airlines and every time they have exceeded their service. Very pleasant crew, generous and kind. The pilot was exceptional, beautifully mannered and landed the plane so that it was not even felt!!! No sought in my mind…",mas
noyg,"Flight was excellent, able to choose (and pay AUD22 for seats). The meals were disappointing - boxes of ""snacks"".",mas
go100,"Comfortable flight through out, On Time and in flight services are adequate. Foods served are fairly delicious.",mas
Mike J,We travel out to my son who lives in KL and often use Malaysian Air. It is a direct flight. The other direct flight is BA but you have to pay to sit next to each other even if you go Economy plus. Malaysian Air do not have the economy plus option but you can pay a bit more for…,mas
Glynis98,We flew to Australia with Malaysia. We went out in October and back in December changing in Kuala Lumpur each time. It was a joy to be in business class. We were really cosseted. It was great to have the flat beds and we were able to sleep which was brilliant. They don’t supply…,mas
R1753CNmark,"Poor seat layout (2-2-1 meaning at least one has to climb over neighbour to get to aisle), poor food and disappointing film selection. Entertaining though that our return take off delayed by snakes on the runway!",mas
Khatijah,A memorable airlines. Very polite and efficient air stewardess. Flight taking off was on time. Good service.,mas
Mohan Sathasivam,The HUGE Golden Lounge does not have much choice of meals. Not up to the standards of First/Business class travellers. Ice creams are hidden from the travellers and MUST be requested. The cheap Nestle ice cream was served. No choice of food for vegetarians. In-flight meals are…,mas
yiliyuli,"Don't bother with Business class for this flight as by the time you sip a glass of water, you literally have 15 mins to get ready to land. We couldn't stop giggling with the short flight. Kids were disappointed without headphones but honestly, you can't even finish a short…",mas
alanbgtan,"I have been using MH services ON and OFF for the last decade and have observed the standards have fallen, in terms of overall services. Other times, I have flown with QF. On my last trip from MEL on Nov 24, 2019, usually the elderlies and 'parents with children' were advised to…",mas
James Chang,"4 hour delay due to airport system error. Airport could not display any gate or flight details. It is not Malaysian Air's fault. HOWEVER, Malaysian air staff's attitude and manner was simply "" Dont give a Fckk"" with Angry face. They didn't even notice any passengers while…",mas
Samiah Sazzad Sarah,"Malaysian airlines were amazing before, I have no idea why their service has gone so down since the last few years. The food was disgusting, very small portions too. Staff was very rude. While boarding the aircraft they got us in through the wrong way and the same staff ended up…",mas
radzuan2019,"Before boarding, i had breakfast at MAS Golden Lounge, the Nasi Lemak was superb, sedap, the chicken is tender and juicy. Superb services by the MAS cabin crew. The check in was smooth.",mas
Charles P,"Beware !!! your checked luggage, likely to be opened by luggage handlers KLIA airport. This is the second time it happened to me, in last 6 months. When I arrive in Sydney, I noticed the luggage has been opened as the zip secure is unlocked, fortunately nothing was stolen, as I…",mas
amms2012,Travelled from Kl to Singapore on Sun 1 Dec and MAS left 30 mins late. Returned to KL on 2 Dec and the flight was delayed over 3 hrs. This is appalling for an international carrier. No one bothered to advise us on what was happening or provide drinks etc. This is not worthy of…,mas
Angrynakedguy,"When i arrive in delhi yesterday, one of my bag was missing. They told me that it was still in KL and they will send it on the next flight and send it to our hotel. Today they said it was still in Kl, stuck in customs which is absolutely ridiculous. The least they can do is to…",mas
Angrynakedguy,"Often hearing bad things about malaysia airlines but i thought ""it couldn't be that bad"" so i give it a go. First bad sign was that we were not given a bottled water during the flight, instead the stewardesses would sometime walk around the cabin carrying tiny cups of water and…",mas
Rutuja B,Please don't prefere this airline..its the worst airline I ever saw..they dont have proper schedules fr der flights..by chance if u missed the flight then from next flight to luggage all will me messed..so i will never prefer anybody this airline,mas
Deepesh M,Baggage is missing and the airline authorities are pathetic in retrieving it. They do not reply reply to your mails or calls. No procedure is followed. Shows a poor state of affairs of the self renowned airline,mas
Sakila Romesh,I travelled Bali from Sri lanka and had transits on KL airport. I travelled KL to Bali and Bali to KL by malaysia airline. Tickets are cheap. But also quality is cheap. Seats are not comfortable. Cabin crew is not friendly. Distance between two seats raw is too narrow in…,mas
Kannan Pasamanickam,I have flown several times on Malaysian Airlines once upgraded to 1st Class (boy ! was that an experience) and several times on business and economy class. Service again this time was prompt and excellent. Food and drinks were great. In flight choice of entertainment was also…,mas
Thierry KL,"MH 127 KUL - Perth is operated by a old fomer bankrupted german airline. It is an Airbus A 332. While, it is a wide body aircraft, the Economy section features a''low cost'' seat arrangments. Apart from the first 4 or 5 rows of the Y cabin, which offer extra leg room, the rest…",mas
Normalfornorfolk63,"Great experience. Best to check in online. Food was good, service was very nice and getting on and off were well organised. The inflight was very good so all in all, this airline is a good choice",mas
Matt L,So MH delay my baggage for nearly 12 hours. After waiting for 6 days (Not open on weekend) their Customer Care Team offers enrich points after claiming “circumstances beyond our control” I do not require enrich miles as I will never be flying with such a disorganised rabble of…,mas
Kate1953,"Quite chaotic for the check-in for this flight both from Kuala Lumpur and Yangon. But, for a very reasonably priced on-line-bid for an upgrade to business class, it is well worth the extra expense for comfort and a window seat.",mas
Janie Liew-Tsonis,"Does Malaysia Airlines even care about their passengers anymore? Considering we were to and from Beijing on Business Class, I seriously think there should be a total review of the customer service policy. Not only was the flight delayed in Beijing (more than 6 hours) - the…",mas
EgilJessheim,"Business class short- hop from Kota Kinabalu to Sandakan. Flight takes about 35 min. Boeing 737- 800, 2+2 configuration. Seats on this flight was amazing! Big, bulky recliners that gave me the feeling of real luxury. Inflight service was surprisingly good, considered that this…",mas
Spudal Uralles,"booked a ticket for 2 pax to LHR and requested for upgrade with miles at the counter. nothing. cattle class service is pure ridiculous. you have to “ping” the attendants numerous times just to get their attention (seems business passengers are their focus, not the cattle…",mas
Sue H,"Couldn’t fault this airline. On time, staff lovely, food good. Drinks service great. Was a bit nervous to fly with Malaysia airlines as had read a few bad reviews, but price was good so we went for it. Could not have been happier .",mas
PG162,"Traveled on MH136 from Adelaide direct to KL and then MH190 from Kl to Delhi. Firstly its great to get direct flights out of Adelaide rather than having to do a domestic connect. The flight was great, good communication from flight deck. Flight attendants were great, very…",mas
jagsjg,"As part of a trip to and from Turkey first leg was on Malaysian, and that was the best compared with good service from Oman and Etihad on other legs. The planes are the planes but the added value was the very high level of service from the Malaysian staff. The food was better,…",mas
Pat1989,"Thought they were alright the last time but pretty shocking all round lately. Check in staff were the slowest humans on earth, total lack of organisation meant we were delayed. Service on board wasnt great, slow to react and actually a bit rude. Connecting flight delated too,…",mas
chessu,"Ended up flying with Malaysian as they code share with BA, whom I had the rest of my flights with and kind of ended up getting a Buy 2 Get 3 deal. My mum, however, bought it outright and it was almost double the price of the local airlines. Because of this and the included food…",mas
A. Swart,"We flew back from Bali to Amsterdam with a stop over in Kuala Lumpur. We flew with Malaysia Airlines to Kuala Lumpur, but because there was a delau, we missed our stop over at Kuala Lumpur to Amsterdam with KLM. We payed extra to fly with KLM and bought seats so me and my…",mas
fiogib,"For the same price as it would have cost to fly Mel to Phuket with a cheap 'no service' airline we flew Melbourne to Kl, had 2 days shopping and then flew KL to Phuket. Plane was on time, friendly staff and all inclusive. Have flown Malaysia Airlines a few times in the past…",mas
Caine C,"I've always been using MAS for all my business trips and they have never disappointed me so far. The overall experience was pleasant also due to my status as Enrich Silver. The cabin crew were courteous and always smiling. Despite the situation with MAS, I am still happy with…",mas
groovygooly,I had the best flight ever with Malaysian Airways In flight food drinks and entertainment were top quality . The Flight from KL to Japan was in the A380 I had lots of leg room and arrived ready relaxed and ready for the next part of my holiday,mas
K B,Check inn staff demanded cash payment deliberately showing incorrect reading on baggage scale . 10 kg actual comes up as 16 kg 20 kg actual comes up as 30 kg .Absolute dishonesty and corrupted. Not recommended at all to fly this kathmandu airport and Malaysian airline.,mas
den003,"Terrible seats, we are both tall and all the way we could feel the seat on the back of your thighs creating pressure. Seats were very cramped. The TV screen was small and not as good a choice as other airlines. We had to ask for more water. It was an 8 hour flight you got a…",mas
Anthony W,booked upgraded seats for 3 people. at check in i was told no upgraded could be found on system as it was never reserved even after i showed them receipts.had to fly standard economy . after countless fruitless hours on the phone and their support email i was told i wont be…,mas
sonner36,"We took this flight in our trip from Kuala Lumpur to Bangkok and we couldn't make a better choice. After comparing options with other airlines, this was undoubtedly the best option, for quality, price and flight schedule. Checkin could not be faster and the airport staff…",mas
uenok,"I booked non-refundable 16hour journey from Brisbane to Kathmandu for my holiday. They made over 8 changes to my flights, in the end it left on a different date and journey went from 16 hours to over 30 hours. Clearly not happy, I requested refund since new itinerary didn’t…",mas
helen d,"We checked in early at Kuala Lumpur International Airport, easy with great assistance from staff, immigration was straight forward and also everyone kind and helpful. The business lounge for Malaysia Air at KLIA 2 was excellent, had a great shower and a private rest area to have…",mas
Mel C,I booked through qantas and Malaysian was their carrier for this leg. Our flight was delayed due to a storm. Unavoidable. It was then grounded due to mechanical issues. I was going to miss my connecting flight from Singapore to Brisbane. Transit desk said they wouldn’t book my…,mas
Flyit,"We chose Malaysian because the price was quite competitive to fly to from Heathrow to Sydney in August 2019, the service in business class was not up to other airlines standard, I was served by a nice steward but my wife had a very miserable stewardess who had no manners and…",mas
AdrianAdy66,flight was good. on time. in flight services all in working condition. transit was smooth. connecting flight has a practical waiting window,mas
GrimaldaIstra,I dont usually write airline reviews BUT - having recently flown Malaysia Airlines business class from LHR to KUL - I just wanted to share the experience - and d justuice to the great cabin service and machines that the airline uses. It truly was exceptional. I had high hopes…,mas
Mahi,I must say the worst airline i have ever been to ... so ridiculous service i have seen they guys even don’t know how to talk.. they will consider your purse also in baggage and laptop also.. i have travelled in thai airways they are much much top notch then this ridiculous…,mas
Jo-Ann,"I was quite disappointed observing the MAS stewardess treating this flight, MH199 from Hyderabad. 90% of the passengers were Indians and to my shock, the tone of voice towards the passagers were rude and loud. There was not even an ounce of Malaysian Hospitality shown. I have…",mas
Maree K,"Flight over was reasonable. Service good, food good. Flight back was a nightmare. Delayed in Langkawi and nobody told the passengers until after departure time and on,y when passengers went up and asked. After 2 hours flight takes off but we all miss connecting flights. About…",mas
Ryo,"My 3rd flight from Denpasar to Kualanamu,Medan . Affordable Price and Good Service are the main reason why I choose the Malaysian Airline.",mas
DumplingDolly,"Had a good experience flying Malaysia Airlines. Service was good, flight was in time. Only staff could smile a bit more though. As it was a short flight Singapore-KL, KL-Langkawi we were served refreshments on board.",mas
Lynda B,"Not seated with traveling companion , had to hand in water when boarding, got dehydrated on flight. Invisible to staff no offer of water between meals. Colleague suffered diarrhoea and sickness after having meal on plane . Worse flight ever.",mas
vixperth75,Recently had a holiday to Phuket flying Malaysia Airlines. After booking the flights we got the email to bid on an upgrade to Business Class. As our flight was departing at 2.10AM we put in a bid and were successful. Having previously flown on Thai Airways Business Class I…,mas
John B,"Shameful food, extremely uncomfortable seats and average service. We are used this airline three times now and it is progressively getting worse. No doubt the worst and most uncomfortable flight my wife and I have EVER experienced.",mas
Christine G,We flew from Mumbai to Sydney via Kuala Lumpur and found that when we boarded both flights that we had been upgraded. Bonus !! Everything about both flights was excellent and could not be faulted. We had delays in both Mumbai & K.L. but they made up the time & we actually got to…,mas
Stephen O,We booked for economy flights and were offered to submit bids for upgrade to Business Class for my wife and myself. We did this and was accepted. We were initially pleased thinking this would be the highlight of our trip. We were allocated two separate seats and when we boarded…,mas
Michael Clarke,Flew with my partner from Brisbane to Phuket via Kula Lumpur. The main flights from Brisbane to Malaysia were tolerable barely. However both legs of the Malaysia to Puket (and return) were pathetic. Service was dismal and the overall experience was when to remember and not in a…,mas
Abdellah,"I have traveled with the Malaysia airlines , the flight was very nice and comfortable. The staffs were very accommodating and helpful . I will seriously book on the same flight in the future . The best",mas
nikhilputtaswamy,Malayia airlines is the worst airlines in the business and they provide the worst customer service. My parents and my in-laws recently travelled from Bangalore to Melbourne and both had the worst flight. My in-laws travelled in July and we had booked wheel chair assistance. My…,mas
WouterB,"This company is bad. Booked flight, could not go anymore due to a big business deal. Wanted to give tickets to parents. Did not allow name change. I'll bet fly with them again. Bad inflexible incident resolvement",mas
Wpl,"Worse than bad. The stewardess totally unfriendly, when request something they just show impatient and won't help at all. Food become worse and worse. I think their grade may drop to low cost airline.",mas
dandee91,"The service was very GOOD with Cabin Staff attentive all the time, Friendly and smiling. Food was Great plus the drinks. No complaints at all. Cabin was clean and fresh",mas
MonPetitDoigtMeDit,Our connecting flight KL to Bali it was delayed by 1 hr then an hour later we get an announcement it’s another hour delayed then another hour. After 3 hrs of hanging around we board. After taxing for about 20/30 minutes we arrive back at the gate and told that Bali airport is…,mas
chiney83,"I traveled Malaysian Airlines and although I was the only black person on board, there was no discrimination experienced. I was treated equally like the other races on board. The flight was extremely long but the air hostess made it worth the time.",mas
Mark Navy,I have seen MH flights improve two fold in the past few years & the service seems to not end. Lovely staff & comfortable aircraft. thank you - MH is back again as a serious comfortable & professional airline.,mas
G.tonial,"I though jetstar was bad, but this company is breaking barriers. 5 hours delay to leave from Thailand. They offered food, old bad croissants with a bottle of water (u know, the kind of thing you give to beggars on the st.) On the flight the meal was poor as well (not that I was…",mas
Irving C,"Planes generally have older interior, cabin crew’s service quality and attitude varied greatly; I would generally my luck with a lottery ticket than getting a good service no matter the distance of the flight. Never understood how this airline is staying afloat.",mas
Anas B,"I bought MH flight on behalf of my father and mother. My father is a cancer patien and needs to do PET Scan at UMMC on 21 Oct 2019. After checked in, only around 9.30 PM, my parents been informed that the flight will be delayed from departure time 8.50 PM to 10.30 PM. I…",mas
John R,"This was very comfortable flight indeed, with good legroom, very decent food, friendly and efficient staff, and seating that was much better than expected. I have no criticism at all, and would recommend Malaysian Airlines anytime on the basis of this experience. Online checking…",mas
Bulent,I have traveled with Malaysian airlines in the past and i have found them to be less than desirable in plane comfort and customer service. My last flight they did not transfer my luggage and i had to report it as lost and had to wait till they find it and send it . On the…,mas
Francoise P,"My family (3 people) had booked on Malaysian Airlines from Sandakan to KL on a flight supposed to leave at 14h10 as we had a connecting flight to South Africa to catch at 23h15. This would have left us plenty of time. However, the flight was delayed by 4 hours thus causing us to…",mas
ezmeerrahman,"As usual, MH never disappointed me when it comes to traveling. Food was good and service is always tip top.",mas
Neil H,Made very comfortable and our two young children. Food plentyful and onboard entertainment has something for everyone.,mas
Jessica Rose,"I strongly suggest DO NOT fly with Malaysia Airline's. I traveled schedule flight from HCMC to KUL and during check-in due to the perfume bottle in my luggage bag and decided to sign ""The Limited Release Baggage Tag (LRT)"" to protect from the fragile items. However, the flight…",mas
Mike J,"We booked the extra leg room seats, well worth it.They don't offer super economy but this was excellent. Left on time and arrived early. Food not bad. Stewardesses were fine. Is a direct flight too, no hanging about in ME. It is 13 hour flight though!",mas
ShaneChua,"I refer to the particular flight MH795 on 9 October 2019. 1) Its an old aircraft without the IFE, though the flight is only 1 hr 15 mins...but at least its an international route and it happen that in this flights, there were lots of foreign tourists on board. 1st impression is…",mas
Jags,Flight from Sydney to London with a 3 hour stop over in KL. Long flight made easier by purchasing seats at exits with extra leg room. Cabin staff excellent .,mas
Ian D,"Two of the cabin crew (names withheld here) were unpleasant and unprofessional for most of the trip. I was pleased that I did not need their help other than when meals were served. Fortunately (name withheld) started to become pleasant before arriving in KUL, however (name…",mas
Xanthe P,Amazed and so thankful my Kindle was returned to me when I asked at check in. Lots of Malaysia Airlines staff sprang into action and retrieved it from where it had been carefully stored and logged.,mas
Bj L,I flew on the Malaysian Airline 737 from Singapore to Kuala Lumpur and I must say I'm not impressed with Malaysian Airlines in any way shape or form. The boarding prices is slow disorganized and your ferried onto a bus and taking it to the aircraft at Changi Airport. Malaysia…,mas
Lawrence Y,"Inflight service was excellent, and very helpful staff with a smile , have try other airline but keep coming back to MAS airline, meal on board is excellent and good choice of beverages",mas
689cyrusa,"Had a very satisfying experince travellling with malaysian airlines. Right from boarding to annoncements to seats, leg room and baggage handling was excellent. The food and beverage served was on its mark and the airhostess were very effecient in thier services.",mas
Yokey-Pokey,"It was the worst flight of the two sectors, PEN-KUL-DEN, compared with any budget airlines on the sectors. MAS doesn't know what the normal airlines inflight services are any more. I paid nearly double the budget airlines, but they are better. No wonder MAS has been losing so…",mas
travelindeck,"We flew with return flights, both transit in Kuala Lumpur (KL). We got very bad experiences with the ground crews twice. First one happened after we landed in KL. The flight was a couple hours behind schedule due to bad weather. We directly went to transit desk to seek…",mas
Matt C,"I've flown Malaysia Airlines several times now and simply cannot fault them. Staff are always friendly yet professional. Flew a couple of Business Class legs recently and was very happy. Having a ""lie flat"" seat was amazing for the red-eye... And I'm nearly 6'2"". Highly…",mas
Sanron4575,"They kept serving drinks to drunk behind my husband. He thought it was a women, slapped his arm when told ""her"" to sit back & he reported this Stewards. They ""spoke"" to him & then he abused husband & punched him in mouth. Reported to stewards who asked if he wanted to move…",mas
Laycee Jones,"I travel on Malaysian airlines from Sydney to HKT and had my return flight also booked with the same airlines. The flight attendants were friendly and looked after the passengers on the way to HKT however, during my return flight from HKT to SYD, the experience was really bad…",mas
Carole T,"We were encouraged to take an earlier flight from ldu and rush to pick up checked luggage at bki to connect to an earlier flight to kL. The agent at bki was absolutely no help, refused us standby and we are sitting at McDonald’s for the next 3.5 hours. Really, Malaysian air…",mas
Carole T,Poor communication. Left us standing around for hours without direction until we stood in line to rebook.,mas
bardan988,"I was injured on my flight to Kuala Lumper by a passenger walking down the planes isle with excessive luggage. Due to my medication if my body is knocked I very easily bleed. With this in mind I decided to upgrade my return flight. The flight crew ( Cabin ) were tremendous,…",mas
winfredfan,"As a freq flyer between Hong Kong and Kuala Lumpur, Cathay Pacific is my airline of choice but unfortunately I have to fly Malaysia Airlines due to cost or flight time. The general attitude of the staff from those at the check-in counters to those at lounge and the flight crew…",mas
Foodys2,Second overseas trip to Europe and second time MA cancelled our flight. Since this obiously happens often you'd think they would have good systems and processes in place for managing such situations wouldn't you? But no! We travel business class so we got better treatment than…,mas
Gramoore10,I recently connected from an Emirates flight to Kuala Lumpur to Penang and then return 4 days later. This was my first experience flying Malaysia Airlines domestic. It's only about 45 minutes flying time but the service and the overall experience was excellent. Highly…,mas
chezmelbourne,"We kept hoping the flight would get better but they didn’t. The food is shocking, the crew so unhelpful and they never smiled. A dry chicken pizza slice was served with only half glasses of soft drink, juice or water. Tea and c were served with powdered creamer. The bags took…",mas
Dick Paterson,great flight that left on time. the service in economy was first class. wasnt our first flight with malaysian and wont be our last,mas
Faisal S,"It was a night-time flight to London, and everyone was getting sleepy. The flight departed ON TIME, and there were no incidents that could mar the journey. Everything went well. The air stewards and stewardesses were very professional, well groomed and attended to our every…",mas
Louis N,We arrived from Ho Chi Minh and took the aero train one stop to the transfer counter around 2:20pm today Tuesday October 1 to speak to a lady named: artyla (May be wrong spelling) I didn’t have a chance to see her name tag closely. We stood at the counter for five minutes as she…,mas
bemurray28,Air staff very pleasant. Very nice meals and service was excellent. Entertainment onboard was very good.,mas
philyemily,This airline offers the best timing for travelling as compared to other airlines which provides flight in the midnight and too early in the morning.,mas
Dawn S,Came back on this flight after thomas cook went bust and what was a very stressful time this lovely aircraft came picked us up and flew us back to the uk absolute amazing aircraft and wonderful staff thank you,mas
Sunnybeach38,"The stewards and stewardesses are always smiling, courteous and love serving their clients be it drinks or food. The pilots always land well. Flights are on time as well unlike many other airlines",mas
Michelle,We have flow with Malaysian airlines several times. This is by far our worst experience. Our flights were changed on our way to our destination and again on our journey home by more than a day. The airlines would not refund our fare therefore meaning we couldn’t rebook with…,mas
Carmen,Sadly our travel experience on Malaysian airlines was highly unpleasant given the filthy state of their toilets during our short 8 hour flight and inedible food. We will never travel Malaysian again.,mas
Tom H,"In September, I once again flew from Perth to Hanoi via Kuala Lumpur. And return. This is the 6th time I've flown with Malaysian air and not once have I been disappointed with anything. From being welcomed onboard, friendliness off crew who found it no trouble to any and every…",mas
Trip181054,"After paying huge money for extra leg room in the exit row, the flight staff would not let us sit there as my partner had a walking stick with him that he uses for hiking. On the way back we were permitted to sit in these seats which proved he was more than capable of assisting…",mas
956mario,I am a fortnightly traveller to Bangkok and on this most unfortunate occassion i needed a night dept from Sydney.I usually fly China Airlines whom I love all round 5 star quality But the only availability was MH Flight dept ontime 2210 from Sydney To my gobsmacked surprise after…,mas
